,OFFENSE,BLKADDR,City,State,Latitude,Longitude
174,BURGLARY COMMERCIAL,1400 BLOCK UNIVERSITY AVE,Berkeley,CA,37.870054, -122.284263
175,THEFT MISD. (UNDER $950),900 BLOCK UNIVERSITY AVE,Berkeley,CA,37.868263, -122.296013
176,THEFT MISD. (UNDER $950),2100 BLOCK SHATTUCK AVE,Berkeley,CA,37.871167, -122.268285
177,SEXUAL ASSAULT MISD.,2000 BLOCK DWIGHT WAY,Berkeley,CA,37.863679, -122.269631
178,VEHICLE STOLEN,700 BLOCK HILLDALE AVE,Berkeley,CA,37.898747, -122.266109
179,THEFT FELONY (OVER $950),1820 HEARST AVE,Berkeley,CA,37.873157, -122.274468
180,BURGLARY COMMERCIAL,1900 BLOCK ADDISON ST,Berkeley,CA,37.870639, -122.272468
181,DOMESTIC VIOLENCE,2700 BLOCK TELEGRAPH AVE,Berkeley,CA,37.861387, -122.259001
182,IDENTITY THEFT,1000 BLOCK EUCLID AVE,Berkeley,CA,37.891594, -122.264883
183,THEFT FROM AUTO,2400 BLOCK HILGARD AVE,Berkeley,CA,37.878373, -122.262902
184,THEFT FROM AUTO,2300 BLOCK SPAULDING AVE,Berkeley,CA,37.865795, -122.28044
185,THEFT MISD. (UNDER $950),1200 BLOCK SAN PABLO AVE,Berkeley,CA,37.882033, -122.296381
186,VEHICLE STOLEN,1800 BLOCK 7TH ST,Berkeley,CA,37.870538, -122.297407
187,THEFT MISD. (UNDER $950),2300 SHATTUCK AVE,Berkeley,CA,37.867176, -122.267802
188,VANDALISM,2000 BLOCK ALLSTON WAY,Berkeley,CA,37.869105, -122.270064
189,THEFT MISD. (UNDER $950),2100 BLOCK SHATTUCK AVE,Berkeley,CA,37.871167, -122.268285
190,DISTURBANCE,2100 BLOCK 6TH ST,Berkeley,CA,37.866563, -122.297217
191,THEFT MISD. (UNDER $950),1400 BLOCK UNIVERSITY AVE,Berkeley,CA,37.870054, -122.284263
192,THEFT MISD. (UNDER $950),1900 BLOCK SAN PABLO AVE,Berkeley,CA,37.870205, -122.292581
193,THEFT MISD. (UNDER $950),2600 BLOCK TELEGRAPH AVE,Berkeley,CA,37.862927, -122.258784
194,DISTURBANCE,2700 BLOCK PIEDMONT AVE,Berkeley,CA,37.862024, -122.251212
195,THEFT FELONY (OVER $950),1600 BLOCK PRINCE ST,Berkeley,CA,37.85177, -122.276489
196,BURGLARY AUTO,2700 BLOCK DWIGHT WAY,Berkeley,CA,37.865748, -122.253396
197,DISTURBANCE,2300 BLOCK DERBY ST,Berkeley,CA,37.860993, -122.262104
198,NARCOTICS,2600 BLOCK TELEGRAPH AVE,Berkeley,CA,37.862927, -122.258784
199,THEFT FROM AUTO,2700 BLOCK DERBY ST,Berkeley,CA,37.862118, -122.25338
200,ASSAULT/BATTERY MISD.,2800 BLOCK SHATTUCK AVE,Berkeley,CA,37.858525, -122.266906
201,VANDALISM,1905 DELAWARE ST,Berkeley,CA,37.874254, -122.272927
202,SEXUAL ASSAULT MISD.,2200 BLOCK SHATTUCK AVE,Berkeley,CA,37.869363, -122.268028
203,VEHICLE STOLEN,1500 BLOCK HENRY ST,Berkeley,CA,37.880075, -122.270476
204,THEFT FELONY (OVER $950),2700 BLOCK MATHEWS ST,Berkeley,CA,37.857776, -122.286576
205,VEHICLE STOLEN,2600 BLOCK REGENT ST,Berkeley,CA,37.863369, -122.257622
206,THEFT FELONY (OVER $950),2300 BLOCK SHATTUCK AVE,Berkeley,CA,37.867176, -122.267802
207,DISTURBANCE,1200 BLOCK SAN PABLO AVE,Berkeley,CA,37.882033, -122.296381
208,ROBBERY,2511 PARKER ST,Berkeley,CA,37.863415, -122.256801
209,VANDALISM,1000 BLOCK HEARST AVE,Berkeley,CA,37.869993, -122.294774
210,BRANDISHING,2700 BLOCK SHASTA RD,Berkeley,CA,37.885559, -122.258485
211,BURGLARY AUTO,2300 BLOCK SHATTUCK AVE,Berkeley,CA,37.867176, -122.267802
212,MISSING ADULT,1400 BLOCK UNIVERSITY AVE,Berkeley,CA,37.870054, -122.284263
213,THEFT FROM AUTO,1080 HEINZ AVE,Berkeley,CA,37.854318, -122.287777
214,IDENTITY THEFT,1300 BLOCK ROSE ST,Berkeley,CA,37.876897, -122.28868
215,BURGLARY RESIDENTIAL,,Berkeley,CA,37.869058, -122.270455
216,THEFT FROM AUTO,900 BLOCK HEINZ AVE,Berkeley,CA,37.853552, -122.291561
217,BURGLARY COMMERCIAL,2000 BLOCK VINE ST,Berkeley,CA,37.879921, -122.271646
218,VEHICLE STOLEN,1400 BLOCK NEILSON ST,Berkeley,CA,37.878868, -122.290083
219,THEFT MISD. (UNDER $950),1000 BLOCK GILMAN ST,Berkeley,CA,37.88014, -122.297498
220,MISSING ADULT,1000 BLOCK UNIVERSITY AVE,Berkeley,CA,37.868641, -122.29415
221,THEFT MISD. (UNDER $950),2800 BLOCK ADELINE ST,Berkeley,CA,37.858116, -122.268002
222,VANDALISM,1800 BLOCK UNIVERSITY AVE,Berkeley,CA,37.871246, -122.274991
223,ASSAULT/BATTERY MISD.,2200 BLOCK SHATTUCK AVE,Berkeley,CA,37.869363, -122.268028
224,BURGLARY AUTO,3000 BLOCK DOHR ST,Berkeley,CA,37.853221, -122.280832
225,THEFT MISD. (UNDER $950),2300 SHATTUCK AVE,Berkeley,CA,37.867176, -122.267802
226,THEFT FROM AUTO,900 BLOCK INDIAN ROCK AVE,Berkeley,CA,37.893448, -122.272137
227,THEFT MISD. (UNDER $950),1500 BLOCK ALCATRAZ AVE,Berkeley,CA,37.847908, -122.277685
228,BURGLARY AUTO,3000 TELEGRAPH AVE,Berkeley,CA,37.855435, -122.259841
229,THEFT FELONY (OVER $950),1400 BLOCK STANNAGE AVE,Berkeley,CA,37.878935, -122.293437
230,BURGLARY COMMERCIAL,2800 BLOCK ADELINE ST,Berkeley,CA,37.858116, -122.268002
231,ROBBERY,2300 BLOCK DERBY ST,Berkeley,CA,37.860993, -122.262104
232,BURGLARY RESIDENTIAL,1500 BLOCK ARCH ST,Berkeley,CA,37.880636, -122.264757
233,MISSING ADULT,1800 BLOCK TACOMA AVE,Berkeley,CA,37.893213, -122.280436
234,GUN/WEAPON,2000 BLOCK ALLSTON WAY,Berkeley,CA,37.869105, -122.270064
235,ASSAULT/BATTERY MISD.,1000 BLOCK UNIVERSITY AVE,Berkeley,CA,37.868641, -122.29415
236,VANDALISM,1400 BLOCK DERBY ST,Berkeley,CA,37.858448, -122.282308
237,VEHICLE STOLEN,1400 BLOCK HEARST AVE,Berkeley,CA,37.871607, -122.284336
238,THEFT MISD. (UNDER $950),1300 BLOCK ADDISON ST,Berkeley,CA,37.868913, -122.28608
239,BURGLARY RESIDENTIAL,1500 BLOCK ALLSTON WAY,Berkeley,CA,37.867513, -122.281165
240,DISTURBANCE,2000 BLOCK DWIGHT WAY,Berkeley,CA,37.863679, -122.269631
241,BURGLARY RESIDENTIAL,1530 HAWTHORNE TER,Berkeley,CA,37.880522, -122.26245
242,DOMESTIC VIOLENCE,2100 BLOCK ROOSEVELT AVE,Berkeley,CA,37.870145, -122.276287
243,THEFT MISD. (UNDER $950),1000 BLOCK GILMAN ST,Berkeley,CA,37.88014, -122.297498
244,ALCOHOL OFFENSE,1500 BLOCK WARD ST,Berkeley,CA,37.857856, -122.279721
245,THEFT MISD. (UNDER $950),2800 BLOCK ADELINE ST,Berkeley,CA,37.858116, -122.268002
246,NARCOTICS,2200 BLOCK SHATTUCK AVE,Berkeley,CA,37.869363, -122.268028
247,VEHICLE STOLEN,900 BLOCK MURRAY ST,Berkeley,CA,37.850809, -122.291042
248,BURGLARY AUTO,1900 BLOCK SAN PABLO AVE,Berkeley,CA,37.870205, -122.292581
249,VEHICLE STOLEN,1410 66TH ST,Berkeley,CA,37.850114, -122.27974
250,DISTURBANCE,2000 BLOCK PARKER ST,Berkeley,CA,37.861843, -122.269644
251,THEFT MISD. (UNDER $950),1800 BLOCK SPRUCE ST,Berkeley,CA,37.875053, -122.26548
252,DISTURBANCE,2400 BLOCK SHATTUCK AVE,Berkeley,CA,37.865772, -122.267643
253,ROBBERY,1900 BLOCK 4TH ST,Berkeley,CA,37.86825, -122.300093
254,BURGLARY AUTO,3000 BLOCK DEAKIN ST,Berkeley,CA,37.855671, -122.262461
255,THEFT MISD. (UNDER $950),1400 BLOCK SHATTUCK AVE,Berkeley,CA,37.881957, -122.269551
256,BURGLARY AUTO,1300 BLOCK SUMMIT RD,Berkeley,CA,37.886936, -122.249198
257,VANDALISM,2700 BLOCK 7TH ST,Berkeley,CA,37.856088, -122.29274
258,DISTURBANCE,2600 BLOCK DWIGHT WAY,Berkeley,CA,37.86542, -122.25618
259,THEFT FELONY (OVER $950),700 BLOCK FOLGER AVE,Berkeley,CA,37.849244, -122.294722
260,VEHICLE STOLEN,,Berkeley,CA,37.869058, -122.270455
261,BURGLARY RESIDENTIAL,1300 BLOCK UNIVERSITY AVE,Berkeley,CA,37.869764, -122.28655
262,BURGLARY RESIDENTIAL,1800 BLOCK ADDISON ST,Berkeley,CA,37.870298, -122.275101
263,MISSING ADULT,1000 BLOCK UNIVERSITY AVE,Berkeley,CA,37.868641, -122.29415
264,VANDALISM,2431 DURANT AVE,Berkeley,CA,37.86769, -122.259939
265,BURGLARY RESIDENTIAL,2828 PALM CT,Berkeley,CA,37.860212, -122.249833
266,THEFT FELONY (OVER $950),2700 BLOCK 9TH ST,Berkeley,CA,37.857336, -122.290797
267,THEFT MISD. (UNDER $950),1500 BLOCK WOOLSEY ST,Berkeley,CA,37.85062, -122.278313
268,VANDALISM,1900 BLOCK 7TH ST,Berkeley,CA,37.869293, -122.296976
